Year,Saudi Arabian Oil Company (Aramco),National Iranian Oil Co,Gazprom OAO,Sonatrach SPA,Rosneft OAO,China National Petroleum Corp (CNPC),Qatar Petroleum Corp,Russia (Coal),Abu Dhabi National Oil Co,Petroliam Nasional Berhad (Petronas)
1988,83.51,36.32,0,32.83,0,6.65,5.07,0,18.83,15.59
1989,85.49,46.86,206.44,46.46,0,39.91,5.38,0,24.53,15
1990,105.77,50.45,211.37,35.73,4.17,40.32,6.31,0,26.83,16.73
1991,130.27,51.92,210.2,36.3,3.87,41.03,7.08,0,31.95,16.97
1992,134.34,55.67,201.69,39.45,3.52,41.55,8.33,57.55,30.87,19.5
1993,130.74,59.04,194.54,38.39,5.55,42.99,9.05,52.08,30.49,19.28
1994,133.4,58.08,191.3,38.23,5.12,43.84,9.03,46.32,32.83,19.17
1995,133.89,60.53,189.97,39.29,5.08,44.5,9.29,44.7,31.79,22.95
1996,135.66,64.18,181.12,42.98,4.96,49.19,9.94,43.71,32.21,31.42
1997,134.93,91.39,173.84,44.64,4.8,48.99,11.9,41.72,34.04,35.72
1998,138.94,99.11,181.45,43.79,5.48,49.3,14.01,39.77,37.73,22
1999,129.28,100.08,181.37,44.05,5.89,47.44,14.99,42.78,37.96,36.77
2000,138.79,79.41,174.76,47.58,6.31,40.63,18.39,43.71,38.8,31.31
2001,139.17,80.95,172.71,47.23,7,38.89,17.87,45.12,38.78,33.87
2002,133.99,83.25,178.37,53.62,7.8,40.75,18.72,43.21,38.87,39.38
2003,156.46,70.03,186.45,63.63,9.31,43.81,20.59,46.74,41.34,41.65
2004,156.2,88.06,191.71,63.41,10.23,46.08,24.64,47.1,43.22,39.05
2005,177.31,97.29,190.14,68.47,24.33,52.01,27.83,51.45,47.38,40.04
2006,177.21,97.03,191.43,70.14,26.17,58.86,29.78,51.76,50.13,39.46
2007,170.95,93.89,188.78,70.61,32.35,65.11,34.75,52.57,49.5,42.57
2008,178.58,102.5,187.93,70.66,31.59,70.31,40.3,55.47,50.62,44.67
2009,166.81,98.83,131.22,63.18,32.4,74.24,45.29,50.2,45.89,44.79
2010,172.92,121.58,137.18,63.95,33.82,80.36,56.76,54.33,47.64,44.95
2011,191.33,139.56,133.43,60.23,34.8,66.74,66.82,53.77,50.25,53.99
2012,202.96,127.18,123.84,58.75,37.62,70.33,70.94,59.91,52.16,54.15
2013,202.07,125.35,122.17,59.05,65.72,74.78,71.96,59.29,53.34,57.12
2014,206.3,123.01,110.7,58.59,79.92,78.84,70.45,64.97,55.92,58.1
2015,215.47,166.33,107.97,88.51,82.75,81.33,72.78,67.87,60.9,58.71
